city,date,AQI,level,PM2.5,PM10,SO2,CO,NO2,O3_8h,new,new_no_HB,high_tem,low_tem
温州,2020/1/20,46,1,30,46,7,0.7,19,89,,,15,6
温州,2020/1/21,83,2,61,88,8,1,35,94,,,14,8
温州,2020/1/22,79,2,58,82,8,1,26,100,,,20,10
温州,2020/1/23,59,2,42,59,6,1,18,66,,,16,12
温州,2020/1/24,33,1,14,17,6,0.7,11,65,,,13,11
温州,2020/1/25,33,1,12,17,6,0.7,8,66,,,13,10
温州,2020/1/26,25,1,2,5,6,0.6,7,50,,,11,8
温州,2020/1/27,38,1,3,5,6,0.5,5,76,28,3,11,6
温州,2020/1/28,36,1,6,9,6,0.5,5,71,54,15,11,3
温州,2020/1/29,43,1,14,20,6,0.5,6,85,58,22,12,0
温州,2020/1/30,54,2,38,48,8,0.6,10,100,55,21,14,2
温州,2020/1/31,74,2,54,68,8,0.7,10,112,14,11,13,2
温州,2020/2/1,65,2,46,57,8,0.6,9,117,24,17,14,3
温州,2020/2/2,52,2,18,24,7,0.4,8,102,26,23,14,7
温州,2020/2/3,38,1,22,31,6,0.4,10,75,49,37,13,8
温州,2020/2/4,38,1,22,27,6,0.5,6,76,24,21,11,6
温州,2020/2/5,69,2,21,29,5,0.4,5,122,32,27,13,7
温州,2020/2/6,45,1,16,22,5,0.4,4,89,25,23,10,7
温州,2020/2/7,40,1,4,6,5,0.3,3,79,17,15,11,5
温州,2020/2/8,40,1,8,10,5,0.4,3,79,10,9,11,4
温州,2020/2/9,48,1,25,33,5,0.5,4,96,16,16,13,4
温州,2020/2/10,65,2,35,46,6,0.5,6,117,10,10,13,5
温州,2020/2/11,49,1,34,49,5,0.5,7,87,7,7,17,10
温州,2020/2/12,48,1,33,46,5,0.6,10,61,9,8,18,12
温州,2020/2/13,31,1,16,23,5,0.6,7,61,6,5,17,12
温州,2020/2/14,25,1,11,14,5,0.6,8,50,3,3,19,14
上海,2020/1/20,173,4,131,106,10,1.4,76,103,,,11,4
上海,2020/1/21,128,3,97,66,6,1,57,113,8,,12,6
上海,2020/1/22,104,3,78,44,5,1.2,55,69,7,,11,9
上海,2020/1/23,49,1,34,21,4,0.7,35,66,4,,11,8
上海,2020/1/24,62,2,44,52,5,0.7,25,97,13,,10,7
上海,2020/1/25,35,1,14,14,4,0.5,21,69,7,,10,8
上海,2020/1/26,39,1,16,20,5,0.6,18,77,13,,10,7
上海,2020/1/27,40,1,24,22,4,0.6,19,79,13,4,8,4
上海,2020/1/28,110,3,83,66,6,1.1,25,62,14,3,7,3
上海,2020/1/29,92,2,68,55,8,0.9,22,102,21,6,8,3
